01Source,02Language,03GroupType,04GroupSubType,05SourceCategory,06Title,07AccommType,08AccommSubType,09VacationType,10AdvertCode,11URLLink,12PictureURL,13Stars,14LocationDesc,15Country,16Region,17Subregion,18Island,19City,20PriceOld,21PriceFrom,22PriceDesc,23Date1,24Date2,25DateDesc,26DaysNum,27Description,28Activities,29Facilities,30Beach,31BeachDistanceM,32DistanceFromCentreM,33PetsDesc,34InfoDesc
www.liburnia.hr,Hrvatski,Posebne ponude,Ponude mjeseca,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Ponude-mjeseca/43/offers.aspx,OTVORENA WELLNESS VRATA - Hotel ADMIRAL ****,hotel,,,2251,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/OTVORENA-WELLNESS-VRATA---Hotel-ADMIRAL-/9/2251/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/winter_aqua_brake/winter_aqua_brake.jpg,****,,hrvatska,Kvarner,Opatijska rivijera,,,82 EUR,82 EUR,,,,02.03.11.-31.03.11.,,"Obasjani prvim zrakama sunca, dok vas miluje lagani povjetarac, uživajte u ljepoti prirode koja se budi i našoj wellness ponudi...",,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Ponude mjeseca,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Ponude-mjeseca/43/offers.aspx,OTVORENA WELLNESS VRATA - Hotel KRISTAL ****,hotel,,,2242,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/OTVORENA-WELLNESS-VRATA---Hotel-KRISTAL-/9/2242/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Welness/Magicni_dodiri_hotel_Kristal/Dream_Days/slika-1.jpg,****,,hrvatska,Kvarner,Opatijska rivijera,,,76 EUR,76 EUR,,,,04.03.11.-31.03.11.,,"Obasjani prvim zrakama sunca, dok vas miluje lagani povjetarac, uživajte u ljepoti prirode koja se budi i našoj wellness ponudi...",,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Ponude mjeseca,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Ponude-mjeseca/43/offers.aspx,LUXURY OBSIDIAN - Hotel - Villa AMBASADOR,hotel,,,293,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/LUXURY-OBSIDIAN---Hotel---Villa-AMBASADOR/9/293/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Five_Elements/Well0293.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,120 EUR,120 EUR,,,,01.03.11.-31.03.11.,,"Veličanstveni izbor! Uživajte u ekskluzivnoj ponudi, doživite čarobne trenutke romantike i ljubavi.",,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,BOLJE NE MOŽE! - Hotel Kristal ****,hotel,,,359,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-Kristal-/9/359/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,38 EUR,38 EUR,,,,04.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,BOLJE NE MOŽE! - Hotel Admiral ****,hotel,,,358,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-Admiral-/9/358/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,41 EUR,41 EUR,,,,,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,BOLJE NE MOŽE! - Hotel MARINA ****,hotel,,,367,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-MARINA-/9/367/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,31 EUR,31 EUR,,,,30.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,BOLJE NE MOŽE! - Hotel - Villa AMBASADOR,hotel,,,357,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel---Villa-AMBASADOR/9/357/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,48 EUR,48 EUR,,,,04.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet.,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,ZA NJU & ZA NJEGA - Hotel AMBASADOR *****,hotel,,,366,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/ZA-NJU-I-ZA-NJEGA---Hotel-AMBASADOR-/9/366/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Five_Elements/DSC_0264.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,140 EUR,140 EUR,,,,02.01.11.-03.04.11.,,Uživanje s trajnim posljedicama ... Iskušajte jedinstven spoj drevne kineske filozofije feng shui i suvremenih wellness programa te pronađite životnu ravnotežu!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,OTVORENA WELLNESS VRATA - Hotel ADMIRAL ****,,,,2251,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/OTVORENA-WELLNESS-VRATA---Hotel-ADMIRAL-/9/2251/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/winter_aqua_brake/winter_aqua_brake.jpg,****,,hrvatska,Kvarner,Opatijska rivijera,,,82 EUR,82 EUR,,,,02.03.11.-31.03.11.,,"Obasjani prvim zrakama sunca, dok vas miluje lagani povjetarac, uživajte u ljepoti prirode koja se budi i našoj wellness ponudi...",,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,OTVORENA WELLNESS VRATA - Hotel KRISTAL ****,hotel,,,2242,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/OTVORENA-WELLNESS-VRATA---Hotel-KRISTAL-/9/2242/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Welness/Magicni_dodiri_hotel_Kristal/Dream_Days/slika-1.jpg,****,,hrvatska,Kvarner,Opatijska rivijera,,,76 EUR,76 EUR,,,,04.03.11.-31.03.11.,,"Obasjani prvim zrakama sunca, dok vas miluje lagani povjetarac, uživajte u ljepoti prirode koja se budi i našoj wellness ponudi...",,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Wellness & Spa,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Wellness-Spa/44/offers.aspx,LUXURY OBSIDIAN - Hotel - Villa AMBASADOR,hotel,,,293,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/LUXURY-OBSIDIAN---Hotel---Villa-AMBASADOR/9/293/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Five_Elements/Well0293.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,120 EUR,120 EUR,,,,01.03.11.-31.03.11.,,"Veličanstveni izbor! Uživajte u ekskluzivnoj ponudi, doživite čarobne trenutke romantike i ljubavi.",,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Vikendi,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Vikendi/45/offers.aspx,ZA NJU & ZA NJEGA - Hotel AMBASADOR *****,hotel,,,366,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/ZA-NJU-I-ZA-NJEGA---Hotel-AMBASADOR-/9/366/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Five_Elements/DSC_0264.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,140 EUR,140 EUR,,,,02.01.11.-03.04.11.,,Uživanje s trajnim posljedicama ... Iskušajte jedinstven spoj drevne kineske filozofije feng shui i suvremenih wellness programa te pronađite životnu ravnotežu!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Last minute,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Last-minute/46/offers.aspx,BOLJE NE MOŽE! - Hotel Kristal ****,hotel,,,359,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-Kristal-/9/359/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,38 EUR,38 EUR,,,,04.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Last minute,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Last-minute/46/offers.aspx,BOLJE NE MOŽE! - Hotel Admiral ****,hotel,,,358,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-Admiral-/9/358/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,41 EUR,41 EUR,,,,04.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Last minute,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Last-minute/46/offers.aspx,BOLJE NE MOŽE! - Hotel MARINA ****,hotel,,,367,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-MARINA-/9/367/showitem.aspx,"""http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg""",,,hrvatska,Kvarner,Opatijska rivijera,,,31 EUR,31 EUR,,,,30.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Last minute,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Last-minute/46/offers.aspx,BOLJE NE MOŽE! - Hotel EXCELSIOR ****,hotel,,,365,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel-EXCELSIOR-/9/365/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,36 EUR,36 EUR,,,,04.04.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet. Uživajte – s trajnim posljedicama!,,,,,,,
www.liburnia.hr,Hrvatski,Posebne ponude,Last minute,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/Last-minute/46/offers.aspx,BOLJE NE MOŽE! - Hotel - Villa AMBASADOR,hotel,,,357,http://www.liburnia.hr/hr/Naslovnica/Posebne-ponude/BOLJE-NE-MOZE---Hotel---Villa-AMBASADOR/9/357/showitem.aspx,http://www.liburnia.hr/UserFiles/Image/Ponude/bnm_mala.jpg,,,hrvatska,Kvarner,Opatijska rivijera,,,48 EUR,48 EUR,,,,04.03.11.-20.04.11.,,Vanjski svijet polako nestaje... Ostaje samo vodeni svijet.,,,,,,,
