01Source,02Language,03GroupType,04GroupSubType,05SourceCategory,06Title,07AccommType,08AccommSubType,09VacationType,10AdvertCode,11URLLink,12PictureURL,13Stars,14LocationDesc,15Country,16Region,17Subregion,18Island,19City,20PriceOld,21PriceFrom,22PriceDesc,23Date1,24Date2,25DateDesc,26DaysNum,27Description,28Activities,29Facilities,30Beach,31BeachDistanceM,32DistanceFromCentreM,33PetsDesc,34InfoDesc
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Karnevali,http://www.generalturist.com/hr/Putovanja/Karnevali.aspx,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,dvokrevetna soba,Karneval u Veneciji- 3 dana autobusom,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-3-dana-autobusom.aspx,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-3-dana-autobusom.aspx?tabId=raspolozivost&idAranzmanPolazak=9155,http://www.generalturist.com/FotoGalerija/Formati/304_Mala_Karneval-u-Veneciji-trodnevni-aranzman.JPG,,,,,,,,"1.050,00 kn",,po osobi,25.02.,04.03.,.,25.02.,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Karnevali,http://www.generalturist.com/hr/Putovanja/Karnevali.aspx,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,dvokrevetna soba,Karneval u Veneciji - 2 dana autobusom,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-2-dana-autobusom.aspx,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-2-dana-autobusom.aspx?tabId=raspolozivost&idAranzmanPolazak=9153,http://www.generalturist.com/FotoGalerija/Formati/300_Mala_Karneval-u-Veneciji-dvodnevni-aranzman.JPG,,,,,,,,"690,00 kn",,po osobi,26.02.,05.03.,.,26.02.,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Karnevali,http://www.generalturist.com/hr/Putovanja/Karnevali.aspx,Karneval u Rijeci,Karneval u Rijeci,polasci: Zagreb,Karneval u Rijeci,http://www.generalturist.com/hr/Putovanja/Karneval-u-Rijeci.aspx,http://www.generalturist.com/hr/Putovanja/Karneval-u-Rijeci.aspx?tabId=raspolozivost&idAranzmanPolazak=9144,http://www.generalturist.com/FotoGalerija/Formati/2266_Mala_Karneval-u-Rijeci.JPG,,,,,,,,,,,,,,,Karneval u Rijeci,Karneval u Rijeci,Karneval u Rijeci,Karneval u Rijeci,Karneval u Rijeci,Karneval u Rijeci,Karneval u Rijeci,Karneval u Rijeci
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,dvokrevetna soba,Karneval u Veneciji- 3 dana autobusom,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-3-dana-autobusom.aspx,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-3-dana-autobusom.aspx?tabId=raspolozivost&idAranzmanPolazak=9155,http://www.generalturist.com/FotoGalerija/Formati/304_Mala_Karneval-u-Veneciji-trodnevni-aranzman.JPG,,,,,,,,"1.050,00 kn",,po osobi,25.02.,04.03.,.,25.02.,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom,Karneval u Veneciji- 3 dana autobusom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,dvokrevetna soba + 1 dodatni ležaj,Rim - 4 dana zrakoplovom,http://www.generalturist.com/hr/Putovanja/Rim-4-dana-zrakoplovom.aspx,http://www.generalturist.com/hr/Putovanja/Rim-4-dana-zrakoplovom.aspx?tabId=raspolozivost&idAranzmanPolazak=9160,http://www.generalturist.com/FotoGalerija/Formati/245_Mala_Rim-4-dana-zrakoplovom.JPG,,,,,,,,"2.890,00 kn",,po osobi,17.03.,,,17.03.,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom,Rim - 4 dana zrakoplovom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,dvokrevetna soba,Karneval u Veneciji - 2 dana autobusom,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-2-dana-autobusom.aspx,http://www.generalturist.com/hr/Putovanja/KARNEVAL-U-VENECIJI-2-dana-autobusom.aspx?tabId=raspolozivost&idAranzmanPolazak=9153,http://www.generalturist.com/FotoGalerija/Formati/300_Mala_Karneval-u-Veneciji-dvodnevni-aranzman.JPG,,,,,,,,"690,00 kn",,po osobi,26.02.,05.03.,.,26.02.,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom,Karneval u Veneciji - 2 dana autobusom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,dvokrevetna soba + 1 dodatni ležaj,Pariz - 4 dana zrakoplovom,http://www.generalturist.com/hr/Putovanja/Pariz-4-dana-zrakoplovom.aspx,http://www.generalturist.com/hr/Putovanja/Pariz-4-dana-zrakoplovom.aspx?tabId=raspolozivost&idAranzmanPolazak=9165,http://www.generalturist.com/FotoGalerija/Formati/229_Mala_PARIZ-4-dana-zrakoplovom.JPG,,,,,,,,"3.190,00 kn",,po osobi,03.03.,31.03.,,03.03.,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom,Pariz - 4 dana zrakoplovom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,dvokrevetna soba + 1 dodatni ležaj Hotel 3*,Toskana - 4 dana autobusom,http://www.generalturist.com/hr/Putovanja/Toskana-4-dana-autobusom.aspx,http://www.generalturist.com/hr/Putovanja/Toskana-4-dana-autobusom.aspx?tabId=raspolozivost&idAranzmanPolazak=9173,http://www.generalturist.com/FotoGalerija/Formati/224_Mala_TOSKANA-4-dana-autobusom.JPG,,,,,,,,"1.550,00 kn",,po osobi,03.03.,,,03.03.,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom,Toskana - 4 dana autobusom
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,"Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita",dvokrevetna soba + 1 dodatni ležaj,"Venecija, 3 dana autobusom, polazak iz Splita",http://www.generalturist.com/hr/Putovanja/Venecija-3-dana-autobusom-polasci-iz-Splita-Sibenika-Zadra.aspx,http://www.generalturist.com/hr/Putovanja/Venecija-3-dana-autobusom-polasci-iz-Splita-Sibenika-Zadra.aspx?tabId=raspolozivost&idAranzmanPolazak=9180,http://www.generalturist.com/FotoGalerija/Formati/2491_Mala_VENECIJA-3-dana-autobusom-polasci-iz-Splita-Sibeni.JPG,,,,,,,,"1.290,00 kn",,po osobi,04.03.,,,04.03.,"Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita","Venecija, 3 dana autobusom, polazak iz Splita"
www.generalturist.com,hrvatski,Aranžmani s prijevozom,Europska putovanja,http://www.generalturist.com/hr/Putovanja/Europska-putovanja.aspx,Rim - 4 dana autobusom,Rim - 4 dana autobusom,dvokrevetna soba + 1 dodatni ležaj Hotel 3*,Rim - 4 dana autobusom,http://www.generalturist.com/hr/Putovanja/Rim-4-dana-autobusom.aspx,http://www.generalturist.com/hr/Putovanja/Rim-4-dana-autobusom.aspx?tabId=raspolozivost&idAranzmanPolazak=9175,http://www.generalturist.com/FotoGalerija/Formati/220_Mala_RIM-4-dana-autobusom.JPG,,,,,,,,"1.690,00 kn",,po osobi,10.03.,19.05.,,10.03.,Rim - 4 dana autobusom,Rim - 4 dana autobusom,Rim - 4 dana autobusom,Rim - 4 dana autobusom,Rim - 4 dana autobusom,Rim - 4 dana autobusom,Rim - 4 dana autobusom,Rim - 4 dana autobusom
