01Source,02Language,03GroupType,04GroupSubType,05SourceCategory,06Title,07AccommType,08AccommSubType,09VacationType,10AdvertCode,11URLLink,12PictureURL,13Stars,14LocationDesc,15Country,16Region,17Subregion,18Island,19City,20PriceOld,21PriceFrom,22PriceDesc,23Date1,24Date2,25DateDesc,26DaysNum,27Description,28Activities,29Facilities,30Beach,31BeachDistanceM,32DistanceFromCentreM,33PetsDesc,34InfoDesc
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Grand hotel Adriatic I,Grand hotel Adriatic I,dvokrevetna soba + 1 dodatni ležaj (morska strana) superior,Grand hotel Adriatic I,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Grand-hotel-Adriatic-I.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Grand-hotel-Adriatic-I.aspx?tabId=raspolozivost&idSmjestaj=69315&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=60323,http://www.generalturist.com/FotoGalerija/Formati/31864_Mala_panorama.JPG,,"Hrvatska, Kvarner i primorje, Opatija",Hrvatska,Kvarner i primorje,Kvarner i primorje,,Opatija,"575,00 kn",,po osobi,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, Opatija Grand hotel Adriatic I dvokrevetna soba + 1 dodatni ležaj (morska strana) superior Karnevali polupansion 25.02.-27.02. 575,00 kn po osobi",Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Grand hotel Adriatic I,Grand hotel Adriatic I,dvokrevetna soba (park strana) superior,Grand hotel Adriatic I,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Grand-hotel-Adriatic-I.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Grand-hotel-Adriatic-I.aspx?tabId=raspolozivost&idSmjestaj=69321&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=60322,http://www.generalturist.com/FotoGalerija/Formati/31864_Mala_panorama.JPG,,"Hrvatska, Kvarner i primorje, Opatija",Hrvatska,Kvarner i primorje,Kvarner i primorje,,Opatija,"575,00 kn",,po osobi,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, Opatija Grand hotel Adriatic I dvokrevetna soba (park strana) superior Karnevali polupansion 25.02.-27.02. 575,00 kn po osobi",Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Hotel Admiral,Hotel Admiral,dvokrevetna soba + 1 dodatni ležaj (morska strana),Hotel Admiral,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Hotel-Admiral.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Hotel-Admiral.aspx?tabId=raspolozivost&idSmjestaj=69327&datumOd=4.3.2011&datumDo=6.3.2011&idUsluga=16663,http://www.generalturist.com/FotoGalerija/Formati/13101_Mala_Hotel-Admiral.JPG,,"Hrvatska, Kvarner i primorje, Opatija",Hrvatska,Kvarner i primorje,Kvarner i primorje,,Opatija,"615,00 kn",,po osobi,04.03.-06.03.,04.03.-06.03.,04.03.-06.03.,.,"Traveler Rating Hrvatska, Kvarner i primorje, Opatija Hotel Admiral dvokrevetna soba + 1 dodatni ležaj (morska strana) Karnevali polupansion 04.03.-06.03. 615,00 kn po osobi",Hotel Admiral,Hotel Admiral,Hotel Admiral,Hotel Admiral,Hotel Admiral,Hotel Admiral,Hotel Admiral
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Hotel Malin,Hotel Malin,dvokrevetna soba,Hotel Malin,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/otok-Krk/Malinska/Hotel-Malin.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/otok-Krk/Malinska/Hotel-Malin.aspx?tabId=raspolozivost&idSmjestaj=70556&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=16621,http://www.generalturist.com/FotoGalerija/Formati/14316_Mala_Malin.JPG,,"Hrvatska, Kvarner i primorje, otok Krk, Malinska",Hrvatska,Kvarner i primorje,Kvarner i primorje,,"otok Krk, Malinska","489,00 kn",,od,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, otok Krk, Malinska Hotel Malin dvokrevetna soba Karneval polupansion 25.02.-27.02. | 04.03.-06.03. od 489,00 kn po osobi",Hotel Malin,Hotel Malin,Hotel Malin,Hotel Malin,Hotel Malin,Hotel Malin,Hotel Malin
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Hotel Mozart,Hotel Mozart,dvokrevetna soba (balkon) superior,Hotel Mozart,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Hotel-Mozart.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Hotel-Mozart.aspx?tabId=raspolozivost&idSmjestaj=90317&datumOd=4.3.2011&datumDo=6.3.2011&idUsluga=92792,http://www.generalturist.com/FotoGalerija/Formati/15710_Mala_Mozart.JPG,,"Hrvatska, Kvarner i primorje, Opatija",Hrvatska,Kvarner i primorje,Kvarner i primorje,,Opatija,"857,00 kn",,po osobi,04.03.-06.03.,04.03.-06.03.,04.03.-06.03.,.,"Traveler Rating Hrvatska, Kvarner i primorje, Opatija Hotel Mozart dvokrevetna soba (balkon) superior Karnevali noćenje i doručak 04.03.-06.03. 857,00 kn po osobi",Hotel Mozart,Hotel Mozart,Hotel Mozart,Hotel Mozart,Hotel Mozart,Hotel Mozart,Hotel Mozart
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Hotel Park,Hotel Park,dvokrevetna soba + 1 dodatni ležaj (park strana),Hotel Park,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Lovran/Hotel-Park.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Lovran/Hotel-Park.aspx?tabId=raspolozivost&idSmjestaj=89088&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=88942,http://www.generalturist.com/FotoGalerija/Formati/20365_Mala_Hotel-Park.JPG,,"Hrvatska, Kvarner i primorje, Lovran",Hrvatska,Kvarner i primorje,Kvarner i primorje,L,Lovran,"440,00 kn",,od,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, Lovran Hotel Park dvokrevetna soba + 1 dodatni ležaj (park strana) Karnevali noćenje i doručak 25.02.-27.02. | 04.03.-06.03. od 440,00 kn po osobi",Hotel Park,Hotel Park,Hotel Park,Hotel Park,Hotel Park,Hotel Park,Hotel Park
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Grand hotel Adriatic I,Grand hotel Adriatic I,dvokrevetna soba + 1 dodatni ležaj (morska strana) superior,Grand hotel Adriatic I,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Grand-hotel-Adriatic-I.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Opatija/Grand-hotel-Adriatic-I.aspx?tabId=raspolozivost&idSmjestaj=69315&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=60323,http://www.generalturist.com/FotoGalerija/Formati/31864_Mala_panorama.JPG,,"Hrvatska, Kvarner i primorje, Opatija",Hrvatska,Kvarner i primorje,Kvarner i primorje,,Opatija,"575,00 kn",,od,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, Opatija Grand hotel Adriatic I dvokrevetna soba + 1 dodatni ležaj (morska strana) superior Karnevali polupansion 25.02.-27.02. | 04.03.-06.03. od 575,00 kn po osobi",Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I,Grand hotel Adriatic I
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Hotel Lovran,Hotel Lovran,dvokrevetna soba morska strana,Hotel Lovran,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Lovran/Hotel-Lovran.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Lovran/Hotel-Lovran.aspx?tabId=raspolozivost&idSmjestaj=88761&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=113725,http://www.generalturist.com/FotoGalerija/Formati/26112_Mala_Lovran.JPG,,"Hrvatska, Kvarner i primorje, Lovran",Hrvatska,Kvarner i primorje,Kvarner i primorje,L,Lovran,"580,00 kn",,od,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, Lovran Hotel Lovran dvokrevetna soba morska strana Karnevali polupansion 25.02.-27.02. | 04.03.-06.03. od 580,00 kn po osobi",Hotel Lovran,Hotel Lovran,Hotel Lovran,Hotel Lovran,Hotel Lovran,Hotel Lovran,Hotel Lovran
www.generalturist.com,hrvatski,Smještaj,"Praznici, blagdani, događanja",http://www.generalturist.com/hr/Smjestaj/Praznici/blagdani/dogadanja.aspx?promjena=1,Hotel Marina,Hotel Marina,"dvokrevetna soba + 1 dodatni ležaj (balkon, park strana)",Hotel Marina,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Selce/Hotel-Marina.aspx,http://www.generalturist.com/hr/Hrvatska/Kvarner-i-primorje/Selce/Hotel-Marina.aspx?tabId=raspolozivost&idSmjestaj=77564&datumOd=25.2.2011&datumDo=27.2.2011&idUsluga=41640,http://www.generalturist.com/FotoGalerija/Formati/17178_Mala_Hotel-Marina.JPG,,"Hrvatska, Kvarner i primorje, Selce",Hrvatska,Kvarner i primorje,Kvarner i primorje,,Selce,"618,00 kn",,od,25.02.-27.02.,25.02.-27.02.,25.02.-27.02.,,"Traveler Rating Hrvatska, Kvarner i primorje, Selce Hotel Marina dvokrevetna soba + 1 dodatni ležaj (balkon, park strana) Karnevali polupansion 25.02.-27.02. | 04.03.-06.03. od 618,00 kn po osobi",Hotel Marina,Hotel Marina,Hotel Marina,Hotel Marina,Hotel Marina,Hotel Marina,Hotel Marina
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),dvokrevetna soba + 2 dodatna ležaja,Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),http://www.generalturist.com/hr/Austrija/Nassfeld/Nassfeld/Hotel-Sonnleitn.aspx,http://www.generalturist.com/hr/Austrija/Nassfeld/Nassfeld/Hotel-Sonnleitn.aspx?tabId=raspolozivost&idSmjestaj=88209&datumOd=19.2.2011&datumDo=26.2.2011&idUsluga=82902,http://www.generalturist.com/FotoGalerija/Formati/14927_Mala_Sonnleitn.JPG,,"Austrija, Nassfeld, Nassfeld",Austrija,Nassfeld,Nassfeld,,,"4.360,00 kn","3.924,00 kn",po osobi,19.02.-26.02.,19.02.-26.02.,19.02.-26.02.,,"Traveler Rating Austrija, Nassfeld, Nassfeld Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ) dvokrevetna soba + 2 dodatna ležaja polupansion 19.02.-26.02. 4.360,00 kn 3.924,00 kn po osobi last minute",Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn ),Hotel Alpen hotel Marcius ( ex hotel Sonnleitn )
