01Source,02Language,03GroupType,04GroupSubtype,05SourceCategory,06Title,07AccommType,08AccommSubtype,09VacationType,10AdvertCode,11URLLink,12PictureURL,13Stars,14LocationDesc,15Country,16Region,17Subregion,18Island,19City,20PriceOld,21PriceFrom,22PriceDesc,23Date1,24Date2,25DateDesc,26DaysNum,27Description,28Activities,29Facilities,30Beach,31BeachDistanceM,32DistanceFromCentreM,33PetsDesc,34InfoDesc
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Argosy!,hotel,,,pp=bk_pon_52&o=hArgosy,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=bk_pon_52&o=hArgosy,http://www.valamar.com/_Med/PPonude/bk_pon_52_L.jpg,Argosy Hotel***,,hrvatska,,,,Dubrovnik,71€,71€,po sobi,,,20/4/ - 28/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Valamar Dubrovnik President!,hotel,,,pp=bk_pon_51&o=hPresident,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=bk_pon_51&o=hPresident,http://www.valamar.com/_Med/PPonude/bk_pon_51_L.jpg,Valamar Dubrovnik President Hotel****,,hrvatska,,,,Dubrovnik,109€,109€,po sobi,,,20/4/ - 28/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Tirena!,hotel,,,pp=bk_pon_233&o=hTirena,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=bk_pon_233&o=hTirena,http://www.valamar.com/_Med/PPonude/bk_pon_233_L.jpg,Tirena Hotel***,,hrvatska,,,,Dubrovnik,66€,66€,po sobi,,,20/4/ - 28/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs - Valamar Lacroma Dubrovnik!,hotel,,,pp=bk_pon_234&o=hLacroma,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=bk_pon_234&o=hLacroma,http://www.valamar.com/_Med/PPonude/bk_pon_234_L.jpg,Valamar Lacroma Dubrovnik****,,hrvatska,,,,Dubrovnik,99€,99€,po sobi,,,20/4/ - 28/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Valamar Diamant!,hotel,,,pp=RI_pon_05&o=hDiamant,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=RI_pon_05&o=hDiamant,http://www.valamar.com/_Med/PPonude/RI_pon_05_L.jpg,Valamar Diamant Hotel****,,hrvatska,,,,Poreč Istra,126€,126€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs - Valamar Riviera Hotel & Residence!,hotel,,,pp=ri_pon_890&o=hNeptun,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ri_pon_890&o=hNeptun,http://www.valamar.com/_Med/PPonude/ri_pon_890_L.jpg,Valamar Riviera Hotel & Residence****,,hrvatska,,,,Poreč Istra,95€,95€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Valamar Pinia!,hotel,,,pp=ri_pon_888&o=hLuna,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ri_pon_888&o=hLuna,http://www.valamar.com/_Med/PPonude/ri_pon_888_L.jpg,Valamar Pinia Hotel*** (ex. Valamar Luna),,hrvatska,,,,Poreč Istra,69€,69€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs - Valamar Club Tamaris!,hotel,,,pp=ri_pon_889&o=hTamaris,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ri_pon_889&o=hTamaris,http://www.valamar.com/_Med/PPonude/ri_pon_889_L.jpg,Valamar Club Tamaris****,,hrvatska,,,,Poreč Istra,144€,144€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Pical Hotel!,hotel,,,pp=ri_pon_898&o=hPical,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ri_pon_898&o=hPical,http://www.valamar.com/_Med/PPonude/ri_pon_898_L.jpg,Pical Hotel***,,hrvatska,,,,Poreč Istra,66€,66€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u Valamar Bellevue Hotel & Residence-u!,hotel,,,pp=Ra_pon_336&o=hNeptunRabac,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=Ra_pon_336&o=hNeptunRabac,http://www.valamar.com/_Med/PPonude/Ra_pon_336_L.jpg,Valamar Bellevue Hotel & Residence****,,hrvatska,,,,Rabac Istra,91€,91€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Valamar Sanfior!,hotel,,,pp=RA_USK_5&o=hLanterna,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=RA_USK_5&o=hLanterna,http://www.valamar.com/_Med/PPonude/RA_USK_5_L.jpg,Valamar Sanfior Hotel****,,hrvatska,,,,Rabac Istra,97€,97€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u hotelu Miramar!,hotel,,,pp=ra_usk_55&o=hPollux,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ra_usk_55&o=hPollux,http://www.valamar.com/_Med/PPonude/ra_usk_55_L.jpg,Miramar Hotel***,,hrvatska,,,,Rabac Istra,68€,68€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs u All Inclusive Light Allegro Hotelu!,hotel,,,pp=ra_usk_53&o=hCastor,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ra_usk_53&o=hCastor,http://www.valamar.com/_Med/PPonude/ra_usk_53_L.jpg,All Inclusive Light Allegro Hotel***,,hrvatska,,,,Rabac Istra,67€,67€,po sobi,,,22/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
www.valamar.com,Hrvatski,Posebne ponude,Uskrs,http://www.valamar.com/special_offers_category.aspx?cat=us&bgc=1faec7&j=CRO,Uskrs - Girandella Tourist Village,hotel,,,pp=ra_pon_335&o=hGirandella,http://www.valamar.com/ppDetalji.aspx?j=CRO&pp=ra_pon_335&o=hGirandella,http://www.valamar.com/_Med/PPonude/ra_pon_335_L.jpg,Girandella Tourist Village**,,hrvatska,,,,Rabac Istra,60€,60€,po sobi,,,23/4/ - 25/4/2011,,"Prošećite uz kristalno čisto more, udahnite miris Mediterana i upoznajte ovaj čarobni grad. Počastite svoja osjetila raznolikim okusima mediteranskih delicija...",,,,,,,
